"output" "labor" "capital" "province" "ownership" "industry" "list"
15555 405 17684 20 3 5 0
30456 405 24884 29 2 18 0
20006 406 35052 29 3 12 0
13704 408 14249 29 4 5 0
13766 408 1939 29 2 10 0
80277 409 89967 29 5 22 0
24165 410 50575 29 2 23 1
60000 410 32509 15 3 4 0
77280 410 25580 15 3 3 0
129308 410 70550 29 3 17 0
13569 412 4527 29 4 16 0
21577 418 13727 24 2 3 0
35835 418 32946 29 5 25 0
46469 418 7303 29 3 5 0
57765 418 20110 29 2 17 0
31806 419 100284 22 5 4 0
12551 420 7797 29 3 12 0
15238 420 22162 15 3 18 0
20303 420 10491 15 4 12 0
28001 420 33800 15 6 17 0
35088 420 92825 24 3 29 0
13591 421 9730 5 5 22 0
13660 422 17055 25 2 7 0
16005 424 20574 21 5 2 0
15127 426 20992 29 5 16 0
44240 426 32000 10 3 19 0
15266 428 8732 29 3 12 0
43751 428 20407 29 4 18 0
12396 430 14856 22 3 5 0
15583 430 9259 29 3 12 0
18193 430 10326 15 1 17 0
28408 430 7425 29 3 12 0
19714 433 33189 29 5 12 0
20108 433 4532 29 3 5 0
15200 438 6916 21 3 18 0
17013 438 15857 24 2 8 0
28384 439 46324 29 2 20 0
15000 440 5800 15 3 12 0
15160 440 19981 29 3 22 0
14333 442 12035 15 3 3 0
19610 443 12623 29 3 10 0
71300 443 17018 29 2 17 0
12296 445 15726 21 3 4 0
12078 446 4446 29 4 10 0
34194 446 66704 29 2 23 1
8739 448 15337 14 2 25 0
75170 448 37107 13 3 17 0
12000 450 110000 21 3 28 0
12055 450 10592 15 4 22 0
12097 450 10913 29 3 21 0
12179 450 6541 29 3 12 0
12600 450 5677 15 2 18 0
13215 450 10142 29 4 12 0
13466 450 12894 15 3 18 0
13500 450 9058 15 3 16 0
13620 450 16428 29 5 21 0
14000 450 42351 2 5 20 1
15494 450 8920 22 4 2 0
20150 450 21357 29 2 20 0
23546 450 21493 24 3 19 0
25600 450 26818 15 4 5 0
25660 450 13532 29 5 27 0
26369 450 23486 29 5 3 0
95680 450 50418 15 2 20 0
104624 450 64533 15 2 18 0
60245 452 36247 29 3 8 0
15778 454 36410 29 2 21 0
12666 456 4877 21 2 25 0
21846 456 12516 29 3 12 0
